Company,Website,Company LinkedIn,HQ,Stage,Funding Raised,Revenue/ARR,Employees,Focus,Why Good Target,Founder/CEO,Founder LinkedIn,Source
Micro1,https://micro1.ai,https://linkedin.com/company/micro1ai,San Francisco,Series A,$35M,$100M+ ARR,—,AI contractor hiring for data labeling,"7x ARR growth in one year, direct ZipRecruiter DNA (talent marketplace)",Ali Ansari,https://linkedin.com/in/ali-ansari-7b240a18b,TechCrunch
Workstream,https://workstream.us,https://linkedin.com/company/workstream,San Francisco,Series B,$120M,—,—,Hourly hiring + payroll,"Founders Fund backed, exact domain expertise match, Burger King/Taco Bell clients",Desmond Lim,https://linkedin.com/in/desmond-lim7,Tracxn
Alex,https://alex.com,https://linkedin.com/company/hire-alex,San Francisco,Series A,$20M,—,27,AI video interviewing,"YC W24, growing fast, early enough to need strategic help",Aaron Wang,—,TechCrunch
Juicebox,https://juicebox.ai,https://linkedin.com/company/juicebox-work,San Francisco,Series A,$36M,$10M+ ARR,35,AI talent search,"20%+ monthly growth, Sequoia backed, classic 'growing too fast' moment",David Paffenholz,https://linkedin.com/in/david-paffenholz,Crunchbase
Ashby,https://ashbyhq.com,https://linkedin.com/company/ashbyhq,San Francisco,Series D,$128M,—,110,ATS + recruiting analytics,"135% ARR growth, OpenAI/Ramp/Shopify as customers",Benjamin Encz,https://linkedin.com/in/benjaminencz,Crunchbase
Dover,https://dover.com,https://linkedin.com/company/dover-inc,New York,Early,—,—,12,ATS + fractional recruiters,"YC S19, lean team, startup-focused, helped Scale AI/Stripe hire",Max Kolysh,https://linkedin.com/in/maxkolysh,YC
Get on Board,https://getonbrd.com,https://linkedin.com/company/get-on-board,Santiago Chile,Seed,$750K,$1M+ ARR,—,Tech jobs marketplace LatAm,"700K+ applications, 73 of Forbes Chile top 100, needs to scale",Sergio Nouvel,https://linkedin.com/in/sergionouvel,Tracxn
Torre.ai,https://torre.ai,https://linkedin.com/company/torrei,Bogota Colombia,Seed,$15M,—,—,AI job matching,"1M+ users, 180 countries, Shark Tank Colombia investor, ambitious AI vision",Alexander Torrenegra,https://linkedin.com/in/alextorrenegra,LatamList
LaPieza,https://lapieza.io,https://linkedin.com/company/lapieza,Mexico City,Early,—,—,52,AI recruiting + blind hiring,"Local to CDMX, Coca-Cola FEMSA/Unilever/Platzi as clients, Forbes 30 founder",Pol Dauvergne,https://linkedin.com/in/pol-morral-dauvergne,Crunchbase
Emi Labs,https://emilabs.ai,https://linkedin.com/company/emi-labs,Buenos Aires,Series A,$11M,—,50,Frontline hiring via SMS,"YC W19, Walmart/Starbucks/7-Eleven clients, Khosla backed",Mateo Cavasotto,https://linkedin.com/in/andresarslanian,YC
Revelo,https://revelo.com,https://linkedin.com/company/reveloinc,Sao Paulo Brazil,Series B,$48M+,—,—,Remote LatAm devs for US,"400K developers, acquired 5 companies — integration pain, Stanford MBA founder",Lucas Mendes,https://linkedin.com/in/lmzmendes,TechCrunch
SuperAnnotate,https://superannotate.com,https://linkedin.com/company/superannotate,San Francisco,Series B,$53M,—,—,AI data labeling platform,"NVIDIA + Databricks backed, enterprise focus",Vahan Petrosyan,https://linkedin.com/in/vahanp,SuperAnnotate
Encord,https://encord.com,https://linkedin.com/company/encaboratorio,London,Early,—,—,—,Medical/video annotation,"Cedars-Sinai + Stanford Medicine customers, vertical focus",Eric Landau,—,Labellerr
Centaur Labs,https://centaur.ai,https://linkedin.com/company/centaurlabs,Boston,Series B,$16M,—,—,Health data annotation,"YC + Accel + Matrix backed, healthcare vertical",Erik Duhaime,—,Centaur
Contrario,—,—,San Francisco,YC W25,—,—,10,AI expert recruiter network,"Pre-seed to IPO clients, fresh YC batch",—,—,YC
Hirebolt,https://hirebolt.com,https://linkedin.com/company/hirebolt,London,YC S21,—,—,3,Hospitality hiring,"<3 day hiring time, UK market",—,—,YC
Airwork,https://airwork.io,https://linkedin.com/company/airwork-io,Toronto,YC W22,—,—,4,Blue-collar on-demand,"98% shifts filled in 2 hrs, Canada market",—,—,YC
PowerUs,https://powerus.de,https://linkedin.com/company/powerus,Berlin,YC S20,—,—,80,Blue-collar jobs Germany,"50% higher pay for workers, European expansion",—,—,YC
Weekday,https://weekday.works,https://linkedin.com/company/weekdayworks,Bengaluru India,YC W21,—,—,38,Talent database,"250M+ profiles, 30-40% response rates, India/US focus",—,—,YC
